City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket
Kolkata,31/08/2018,33.6,58.22,7.34,38.01,45.35,8.74,1.34,1.21,10.8,4.09,8.18,78,Satisfactory
Kolkata,01/09/2018,12.81,29.29,4.86,31.44,36.31,14.9,1.17,1.36,15.26,1.28,6.26,65,Satisfactory
Kolkata,02/09/2018,17.66,28.39,4.15,32.41,36.56,14.17,1.22,1.52,16.29,1.34,9.81,66,Satisfactory
Kolkata,03/09/2018,33.71,54.09,3.63,33.64,37.27,11.48,1.19,4.48,24.14,1.69,7.56,71,Satisfactory
Kolkata,04/09/2018,49.03,75.89,16.46,47.85,64.3,9.74,1.47,2.42,12.78,2.92,8.33,81,Satisfactory
Kolkata,05/09/2018,29.75,47.56,15.02,35.17,50.19,11.52,1.28,1.5,10.58,5.1,9.09,86,Satisfactory
Kolkata,06/09/2018,11.17,27.02,4.37,21.96,26.34,17.8,1.01,1.45,20.46,3.11,8.65,59,Satisfactory
Kolkata,07/09/2018,14.2,39.94,6.53,26.79,33.32,13.05,1.07,1.51,22.45,1.13,7.74,58,Satisfactory
Kolkata,08/09/2018,20.14,45.48,5.23,22.62,27.85,9.91,1.24,1.74,18.62,1.13,9.21,67,Satisfactory
Kolkata,09/09/2018,19.4,42.79,3.16,17.18,20.35,9.94,1.11,2.93,25.83,0.78,9.16,63,Satisfactory
Kolkata,10/09/2018,29.06,51.97,3.38,19.42,22.8,9.24,1.15,6.43,26.92,0.87,8.63,66,Satisfactory
Kolkata,11/09/2018,35.32,56.64,9.09,32.77,41.86,7.79,1.36,4.3,21.79,2.3,8.82,74,Satisfactory
Kolkata,12/09/2018,46.23,73.8,5.1,36.36,41.46,7.05,1.41,4.68,20.71,2.54,8.9,83,Satisfactory
Kolkata,13/09/2018,56.84,92.4,2.79,30.55,33.34,6.91,1.35,7.79,35.85,1.95,8.85,89,Satisfactory
Kolkata,14/09/2018,55.87,87.69,19.02,50.13,69.15,6.38,1.61,3.36,20.22,4.42,9.04,98,Satisfactory
Kolkata,15/09/2018,56.61,96.62,39.3,36.68,75.9,6.98,1.83,2.8,12.35,4.29,8.67,106,Moderate
Kolkata,16/09/2018,61.52,98.68,24.65,36.89,61.31,10.18,1.56,1.99,15.22,3.72,10.39,114,Moderate
Kolkata,17/09/2018,66.04,108.13,14.92,34.04,48.96,12.37,1.72,2.89,23.96,2.56,10.19,105,Moderate
Kolkata,18/09/2018,61.13,103.62,16.39,36.49,52.87,11.19,1.61,2.22,25.03,2.23,7.78,113,Moderate
Kolkata,19/09/2018,63.91,113.28,9.15,39.21,47.77,16.55,1.44,2.74,33.35,2.81,6.22,110,Moderate
Kolkata,20/09/2018,19.06,35,7.23,29.43,36.65,11.32,1.23,1.72,10.15,5.02,7.26,80,Satisfactory
Kolkata,21/09/2018,7.63,15.53,3.36,20,23.36,10.34,1.04,1.63,24.51,1.89,6.75,57,Satisfactory
Kolkata,22/09/2018,15.65,31.7,7.9,22.91,30.81,9.12,1.16,3.35,15.43,2.03,7.82,63,Satisfactory
Kolkata,23/09/2018,19.86,43.42,16.33,19.38,34.33,9.17,1.11,5.47,13.41,1.69,8.46,67,Satisfactory
Kolkata,24/09/2018,21.67,46.6,4.62,26.15,30.76,11.21,1.1,5.85,15,1.53,6.68,60,Satisfactory
Kolkata,25/09/2018,35.85,63.79,10.5,42.61,53.11,7.76,1.28,3.73,15.07,5,6.71,75,Satisfactory
Kolkata,26/09/2018,46.55,75.42,19.96,44.05,64.01,9.1,1.44,3.41,17.11,4.34,7.97,91,Satisfactory
Kolkata,27/09/2018,57.59,88.21,12.61,49.83,62.43,4.8,1.55,2.82,16,4.08,8.9,99,Satisfactory
Kolkata,28/09/2018,63.57,97.56,10.95,52.45,63.4,5.13,1.52,5.17,19.57,6.78,9.12,102,Moderate
Kolkata,29/09/2018,60.23,94.97,7.88,51.87,59.75,6.38,1.52,4.28,23.9,3.81,9.03,103,Moderate
Kolkata,30/09/2018,66.41,108.46,5.17,41.87,47.03,8.55,1.5,3.24,35.84,2.55,9.46,121,Moderate
Kolkata,01/10/2018,70.58,134.51,46.34,62.14,108.47,10.63,1.78,6.26,31.93,3.43,7.92,143,Moderate
Kolkata,02/10/2018,62.53,113.68,3.53,38.27,41.8,13.83,1.38,6.65,42.14,2.18,8.62,118,Moderate
Kolkata,03/10/2018,61.41,111.2,10.99,38.11,49.09,10.76,1.45,9.27,46.57,1.93,8.4,105,Moderate
Kolkata,04/10/2018,79.58,140.16,20.05,62.66,82.71,11.8,1.61,8.72,34.78,3.4,7.99,145,Moderate
Kolkata,05/10/2018,91.06,147.47,69.15,51.91,108.15,15.54,2.01,5.49,33.31,4.65,10.25,188,Moderate
Kolkata,06/10/2018,99.65,161.16,78.93,51.44,127.37,14.98,2.75,5.52,29.99,8.62,10.83,220,Poor
Kolkata,07/10/2018,101.69,161.62,94.74,49.66,144.4,11.16,3.04,9.67,30.2,10.14,10.78,250,Poor
Kolkata,08/10/2018,102.72,169.29,92.72,61.66,152.52,13.55,2.75,8.21,38.19,5.4,7.46,237,Poor
Kolkata,09/10/2018,49.4,91.84,7.62,41.35,48.97,15.7,2.19,4.08,38.89,3.08,6.78,149,Moderate
Kolkata,10/10/2018,9.55,24.85,4.57,24.09,28.66,14.66,1.51,1.89,22.32,4.88,8.36,83,Satisfactory
Kolkata,11/10/2018,8.51,19.92,6.78,20.39,26.49,15.34,2.63,1.79,16.43,6.19,6.44,107,Moderate
Kolkata,12/10/2018,17.35,36.08,6.07,21.82,27.88,15.68,2.73,1.97,10.84,7.25,7.19,122,Moderate
Kolkata,13/10/2018,22.46,32.48,4.35,18.66,23.01,14.83,1.08,2.62,22.45,2.58,7.98,64,Satisfactory
Kolkata,14/10/2018,34.8,56.81,34.67,20.42,44.7,16.35,1.26,6.91,28.7,1.9,8.23,70,Satisfactory
Kolkata,15/10/2018,48.46,76.41,11.78,36.96,46.1,16.14,1.21,9.41,28.02,2.37,5.97,93,Satisfactory
Kolkata,16/10/2018,59.26,100.25,28.29,37.82,65.67,16.78,1.4,9.3,36.2,2.25,8.92,95,Satisfactory
Kolkata,17/10/2018,86.87,133.92,102.06,42.86,120.23,11.86,2.23,9.3,42.92,5.8,10.32,167,Moderate
Kolkata,18/10/2018,79.18,124.87,3.4,46.97,50.37,14.12,1.36,21.04,56.56,2.42,8.85,156,Moderate
Kolkata,19/10/2018,83.31,126.23,44.49,45.65,90.11,9.25,1.56,8.36,38.77,2.96,8.65,184,Moderate
Kolkata,20/10/2018,100.26,152.59,93.02,50.1,130.12,9.38,2.07,10.67,33.6,4.83,8.7,222,Poor
Kolkata,21/10/2018,97.88,151.9,57.8,47.26,103.51,9.82,1.7,7.2,33.48,4.88,10.87,230,Poor
Kolkata,22/10/2018,101.08,155.61,79.6,67.04,146.25,14.11,1.76,11.16,31.51,5.08,8.73,219,Poor
Kolkata,23/10/2018,107.64,173.2,92.07,82.33,171.65,15.53,2.04,10.1,36.96,5.94,9.13,255,Poor
Kolkata,24/10/2018,100.85,164.83,30.44,83.39,113.83,18.14,1.59,12.96,30.75,5.7,8.67,248,Poor
Kolkata,25/10/2018,91.93,150.75,121.46,78.92,168.54,14,1.49,8.4,35.76,5.42,8.45,217,Poor
Kolkata,26/10/2018,123.38,203.94,149.44,87.93,236.88,17.84,1.9,11.68,32.06,13.52,12.2,276,Poor
